Track ID,Type & Color,Plate Number,Max Speed (km/h),Avg Speed (km/h),Direction,Lane,Last Behavior,Driver Status,Wrong Way,Sudden Stop,First Frame,Last Frame
1,⏳,—,10.6,4.7,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,68
2,⏳,—,43.0,28.3,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,13
3,⏳,—,16.2,8.2,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,68
4,⏳,—,16.2,10.3,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,68
5,⏳,—,37.2,31.3,UNKNOWN,RIGHT,NORMAL,N/A,NO,NO,1,26
6,⏳,—,37.9,15.8,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,68
7,⏳,—,42.0,13.7,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,48
8,⏳,—,22.8,14.1,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,38
9,⏳,—,74.0,53.9,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,68
10,⏳,—,42.6,17.9,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,68
11,⏳,—,127.8,34.4,DOWN,LEFT,NORMAL,N/A,NO,NO,1,68
12,⏳,—,19.2,16.2,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,9
13,⏳,—,102.2,102.0,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,38
14,⏳,—,45.5,30.1,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,31
15,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,5,5
16,⏳,—,45.4,17.4,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,7,62
17,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,11,11
19,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,14,14
20,⏳,—,37.3,26.9,UP,RIGHT,NORMAL,N/A,NO,NO,14,35
21,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,16,16
24,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,18,18
25,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,22,24
26,⏳,—,84.7,23.5,UP,LEFT,NORMAL,N/A,YES,NO,22,68
27,⏳,—,138.2,37.6,DOWN,LEFT,NORMAL,N/A,NO,NO,25,68
31,⏳,—,6.0,6.0,UNKNOWN,LEFT,SLOW,N/A,NO,NO,34,39
34,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,38,38
36,⏳,—,62.6,24.9,UNKNOWN,RIGHT,NORMAL,N/A,NO,NO,41,68
40,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,56,56
42,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,66,68
