Track ID,Type & Color,Plate Number,Max Speed (km/h),Avg Speed (km/h),Direction,Lane,Last Behavior,Driver Status,Wrong Way,Sudden Stop,First Frame,Last Frame
1,⏳,GXN 54321 (?),10.1,3.6,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,1,149
2,⏳,—,44.0,28.7,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,13
3,⏳,—,16.2,6.3,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,1,149
4,⏳,—,15.6,7.0,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,149
5,⏳,—,36.2,31.3,UNKNOWN,RIGHT,NORMAL,N/A,NO,NO,1,26
6,⏳,—,35.7,11.9,UNKNOWN,LEFT,SLOW,N/A,NO,YES,1,149
7,⏳,—,42.0,16.1,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,38
8,⏳,—,84.2,56.3,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,91
9,⏳,—,24.0,15.1,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,35
10,⏳,—,39.9,12.6,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,149
11,⏳,—,112.5,38.2,DOWN,LEFT,NORMAL,N/A,YES,NO,1,149
12,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,1,1
13,⏳,—,19.2,16.2,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,9
14,⏳,—,102.2,102.2,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,37
15,⏳,—,45.5,32.5,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,31
16,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,5,5
17,⏳,—,45.4,18.1,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,7,60
18,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,11,11
20,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,14,14
21,⏳,—,38.7,26.7,UP,RIGHT,NORMAL,N/A,NO,NO,14,35
23,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,16,18
24,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,22,28
25,⏳,—,62.6,23.8,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,22,72
26,⏳,—,150.9,23.0,UP,LEFT,SLOW,N/A,YES,YES,25,149
31,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,31,36
39,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,38,38
41,⏳,—,56.0,20.7,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,42,92
42,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,53,56
45,⏳,—,62.0,62.0,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,66,70
49,⏳,—,123.0,61.0,UP,LEFT,WRONG WAY,N/A,YES,NO,71,149
56,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,81,83
62,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,87,88
63,⏳,—,54.2,13.6,UNKNOWN,LEFT,SLOW,N/A,NO,YES,89,149
64,⏳,—,36.8,16.5,UNKNOWN,LEFT,NORMAL,N/A,NO,YES,89,149
65,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,92,95
68,⏳,—,71.3,26.5,DOWN,LEFT,NORMAL,N/A,NO,NO,94,149
69,⏳,—,17.0,17.0,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,94,98
74,⏳,—,35.8,22.5,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,110,145
78,⏳,—,92.8,42.3,UP,LEFT,NORMAL,N/A,YES,NO,119,139
83,⏳,—,72.6,66.2,UP,RIGHT,NORMAL,N/A,NO,NO,129,149
