Track ID,Type & Color,Plate Number,Max Speed (km/h),Avg Speed (km/h),Direction,Lane,Last Behavior,Driver Status,Wrong Way,Sudden Stop,First Frame,Last Frame
1,Blue Vehicle,GNN432,10.6,3.6,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,1,150
2,Blue Vehicle,—,43.7,28.7,DOWN,RIGHT,NORMAL,N/A,YES,NO,1,13
3,Blue Vehicle,Unreadable,13.9,6.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,1,150
4,Blue Vehicle,Unreadable,15.7,7.0,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,150
5,Car,Unreadable,37.0,31.4,UNKNOWN,RIGHT,NORMAL,N/A,NO,NO,1,26
6,Green Car,Unreadable,36.6,11.8,UNKNOWN,LEFT,SLOW,N/A,NO,YES,1,150
7,⏳,—,42.0,14.3,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,46
8,⏳,—,22.8,14.2,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,38
9,White Truck,—,82.3,56.3,DOWN,RIGHT,NORMAL,N/A,NO,NO,1,91
10,Car,—,150.5,68.6,DOWN,LEFT,NORMAL,N/A,YES,NO,1,38
11,Green Truck,Unreadable,127.6,37.1,DOWN,RIGHT,NORMAL,N/A,YES,NO,1,150
12,⏳,—,18.2,15.6,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,9
13,⏳,—,102.2,102.2,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,37
14,⏳,—,47.7,30.9,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,31
16,Green Truck,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,5,5
17,⏳,—,43.4,17.9,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,7,62
18,Car,Unreadable,137.6,18.8,DOWN,LEFT,STOPPED,N/A,YES,NO,7,150
19,⏳,—,66.8,25.7,UP,LEFT,SLOW,N/A,NO,NO,8,150
20,White Van,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,10,11
22,Green Truck,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,14,14
23,Vehicle,Unreadable,36.3,26.8,UP,RIGHT,WRONG WAY,N/A,YES,NO,14,35
24,Green Truck,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,15,15
29,Green Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,22,24
30,⏳,—,84.7,24.0,UP,LEFT,NORMAL,N/A,NO,NO,22,72
34,White Van,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,38,40
35,⏳,—,62.6,22.9,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,41,91
37,White Truck,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,51,52
38,Green Car,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,53,53
41,White Truck,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,66,69
45,Green Car,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,70,73
46,⏳,—,125.0,62.6,UP,RIGHT,WRONG WAY,N/A,YES,NO,71,150
50,Green Car,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,77,77
53,⏳,—,40.4,37.4,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,80,88
54,Green Car,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,82,83
55,Green Car,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,86,86
58,⏳,—,51.9,14.6,UNKNOWN,LEFT,NORMAL,N/A,NO,YES,88,150
59,⏳,—,61.8,17.4,UNKNOWN,LEFT,SLOW,N/A,NO,NO,89,150
60,Green Car,—,18.0,12.2,UNKNOWN,LEFT,SLOW,N/A,NO,NO,92,105
61,Green Car,—,78.3,27.5,DOWN,LEFT,NORMAL,N/A,YES,NO,93,150
64,⏳,—,17.0,17.0,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,94,98
66,⏳,—,50.2,25.3,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,100,125
69,⏳,—,41.1,23.8,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,110,145
70,⏳,—,41.3,27.6,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,118,150
71,Green Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,120,120
72,Car,Unreadable,72.2,66.0,UP,RIGHT,WRONG WAY,N/A,YES,NO,129,150
