Track ID,Type & Color,Plate Number,Max Speed (km/h),Avg Speed (km/h),Direction,Lane,Last Behavior,Driver Status,Wrong Way,Sudden Stop,First Frame,Last Frame
1,Blue Vehicle,Unreadable,83.3,61.9,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,23
2,⏳,—,23.9,14.5,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,109
3,⏳,—,77.8,55.1,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,13
4,⏳,—,15.2,10.0,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,64
5,Blue Vehicle,Unreadable,73.7,59.1,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,12
6,⏳,—,38.1,19.8,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,22
7,⏳,—,11.7,8.2,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,40
8,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,1,3
9,Blue Vehicle,Unreadable,85.2,40.7,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,65
10,⏳,—,19.9,12.3,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,18
11,⏳,—,46.0,21.7,UP,LEFT,NORMAL,N/A,YES,NO,5,112
12,Green Vehicle,2 NAY (?),108.2,36.3,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,5,80
14,⏳,—,12.9,7.8,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,8,20
24,⏳,—,22.9,14.5,UP,LEFT,SLOW,N/A,YES,NO,17,73
33,Blue Vehicle,7D4 (?),34.4,20.5,UP,LEFT,NORMAL,N/A,YES,NO,25,163
35,⏳,—,43.3,41.4,DOWN,RIGHT,NORMAL,N/A,YES,NO,29,38
37,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,30,30
41,⏳,—,38.6,20.1,UP,LEFT,NORMAL,N/A,YES,NO,37,162
44,Blue Vehicle,Unreadable,84.8,49.2,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,40,86
45,Green Vehicle,Unreadable,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,43,44
47,Blue Vehicle,Unreadable,86.5,42.9,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,46,98
48,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,46,47
50,Green Vehicle,4O W (?),0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,49,49
53,Blue Vehicle,Unreadable,36.2,35.0,UP,LEFT,WRONG WAY,N/A,YES,NO,51,58
54,Blue Vehicle,Unreadable,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,52,52
56,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,55,56
58,Blue Vehicle,Unreadable,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,62,62
63,⏳,—,45.9,31.0,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,68,109
64,Blue Vehicle,Unreadable,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,69,69
67,⏳,—,43.2,21.3,UP,LEFT,WRONG WAY,N/A,YES,NO,72,195
69,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,80,80
71,⏳,—,39.7,19.1,UP,LEFT,NORMAL,N/A,YES,NO,88,243
78,⏳,—,66.3,36.9,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,102,151
80,⏳,—,23.7,19.7,UP,LEFT,NORMAL,N/A,YES,NO,103,130
81,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,107,107
82,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,111,111
83,⏳,—,41.7,20.4,UP,LEFT,SLOW,N/A,YES,NO,112,254
85,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,116,116
89,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,120,121
91,⏳,—,45.2,40.8,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,121,156
98,⏳,—,54.3,21.2,UP,LEFT,NORMAL,N/A,YES,NO,128,251
99,⏳,—,47.5,31.1,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,130,169
100,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,131,132
102,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,137,137
104,⏳,—,47.9,20.4,UP,LEFT,NORMAL,N/A,YES,NO,138,295
110,Blue Vehicle,Unreadable,74.7,71.4,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,174,182
117,⏳,—,40.3,19.2,UP,LEFT,SLOW,N/A,YES,NO,190,327
118,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,190,193
121,⏳,—,68.8,29.4,UP,LEFT,NORMAL,N/A,YES,NO,198,253
122,Blue Vehicle,Unreadable,40.7,20.2,UP,LEFT,NORMAL,N/A,YES,NO,208,341
126,Blue Vehicle,Unreadable,82.6,43.0,DOWN,RIGHT,NORMAL,N/A,YES,NO,215,265
132,⏳,—,20.0,13.9,UP,LEFT,NORMAL,N/A,NO,NO,246,316
133,Blue Vehicle,Unreadable,83.8,44.3,DOWN,RIGHT,NORMAL,N/A,NO,NO,250,303
134,⏳,—,40.0,19.7,UP,LEFT,NORMAL,N/A,NO,NO,252,378
136,Blue Vehicle,Unreadable,31.0,24.2,UP,LEFT,NORMAL,N/A,NO,NO,260,302
137,Green Vehicle,H NORMA (?),136.4,22.9,DOWN,RIGHT,NORMAL,N/A,NO,NO,261,359
139,Blue Vehicle,Unreadable,47.0,23.0,UP,LEFT,NORMAL,N/A,NO,NO,263,362
144,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,271,271
156,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,278,278
159,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,289,290
162,⏳,—,15.0,14.6,UNKNOWN,RIGHT,NORMAL,N/A,NO,NO,293,300
163,⏳,—,10.6,8.5,UNKNOWN,RIGHT,NORMAL,N/A,NO,NO,299,311
165,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,303,303
167,⏳,—,17.1,17.1,UNKNOWN,RIGHT,NORMAL,N/A,NO,NO,307,311
168,Green Vehicle,Unreadable,63.5,28.7,DOWN,RIGHT,NORMAL,N/A,NO,NO,307,365
169,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,309,315
170,⏳,—,52.8,23.6,UP,LEFT,NORMAL,N/A,NO,NO,313,417
171,Blue Vehicle,Unreadable,30.7,27.1,UP,LEFT,NORMAL,N/A,NO,NO,314,347
174,⏳,—,36.7,25.5,UP,LEFT,NORMAL,N/A,NO,NO,317,386
177,⏳,—,72.7,39.2,DOWN,RIGHT,NORMAL,N/A,NO,NO,318,375
179,⏳,—,37.5,17.6,UP,LEFT,SLOW,N/A,NO,NO,323,467
186,⏳,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,338,338
188,⏳,—,41.2,21.3,UP,LEFT,SLOW,N/A,NO,NO,339,468
198,Blue Vehicle,Unreadable,71.0,38.6,DOWN,RIGHT,NORMAL,N/A,NO,NO,357,411
