Track ID,Type & Color,Plate Number,Max Speed (km/h),Avg Speed (km/h),Direction,Lane,Last Behavior,Driver Status,Wrong Way,Sudden Stop,First Frame,Last Frame
1,Red Car,Unreadable,83.3,61.9,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,23
2,⏳,—,23.9,14.3,STATIONARY,LEFT,NORMAL,N/A,NO,NO,1,109
3,⏳,—,77.8,55.1,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,13
4,⏳,—,15.2,10.0,STATIONARY,LEFT,SLOW,N/A,NO,NO,1,64
5,Car,Unreadable,73.7,59.1,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,12
6,⏳,—,38.1,19.8,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,22
7,⏳,—,11.7,8.2,STATIONARY,LEFT,SLOW,N/A,NO,NO,1,40
8,⏳,—,0.0,0.0,STATIONARY,LEFT,STOPPED,N/A,NO,NO,1,3
9,Red Car,Unreadable,85.2,40.7,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,65
10,⏳,—,19.9,12.3,STATIONARY,LEFT,SLOW,N/A,NO,NO,1,18
11,⏳,—,46.0,21.6,STATIONARY,LEFT,NORMAL,N/A,YES,NO,5,112
12,Vehicle,2 NAY (?),108.6,36.4,DOWN,RIGHT,NORMAL,N/A,YES,NO,5,80
14,⏳,—,12.9,7.8,STATIONARY,LEFT,NORMAL,N/A,NO,NO,8,20
24,⏳,—,22.9,14.5,STATIONARY,LEFT,SLOW,N/A,YES,NO,17,73
33,Car,7D4 (?),34.4,19.1,STATIONARY,LEFT,NORMAL,N/A,YES,NO,25,171
35,⏳,—,43.3,41.4,STATIONARY,RIGHT,NORMAL,N/A,YES,NO,29,38
37,⏳,—,0.0,0.0,STATIONARY,LEFT,STOPPED,N/A,NO,NO,30,30
41,⏳,—,38.6,20.1,UP,LEFT,NORMAL,N/A,YES,NO,37,180
44,Green Car,Unreadable,84.5,49.2,DOWN,RIGHT,NORMAL,N/A,YES,NO,40,86
