Track ID,Type & Color,Plate Number,Max Speed (km/h),Avg Speed (km/h),Direction,Lane,Last Behavior,Driver Status,Wrong Way,Sudden Stop,First Frame,Last Frame
1,Blue Vehicle,GNN432,10.6,3.1,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,1,192
2,Blue Vehicle,—,43.0,28.3,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,13
3,Blue Vehicle,Unreadable,16.2,6.2,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,192
4,Blue Vehicle,Unreadable,16.2,6.5,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,192
5,Blue Vehicle,Unreadable,37.2,31.3,UNKNOWN,RIGHT,NORMAL,N/A,NO,NO,1,26
6,Green Vehicle,Unreadable,49.0,13.0,UP,LEFT,NORMAL,N/A,YES,YES,1,192
7,⏳,—,42.0,13.7,UNKNOWN,LEFT,SLOW,N/A,NO,NO,1,48
8,⏳,—,22.8,14.1,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,38
9,Green Vehicle,—,82.3,56.4,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,91
10,Blue Vehicle,Unreadable,47.1,13.5,UP,LEFT,NORMAL,N/A,YES,NO,1,192
11,Green Vehicle,Unreadable,127.8,39.5,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,192
12,⏳,—,19.2,16.2,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,9
13,⏳,—,102.2,102.0,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,38
14,⏳,—,45.5,30.1,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,31
15,Green Vehicle,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,5,5
16,⏳,—,45.4,17.4,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,7,62
17,Green Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,11,11
19,Green Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,14,14
20,Green Vehicle,Unreadable,37.3,26.9,UP,RIGHT,NORMAL,N/A,NO,NO,14,35
21,Green Vehicle,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,16,16
24,⏳,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,18,18
25,Blue Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,22,24
26,⏳,—,84.7,24.2,UP,LEFT,NORMAL,N/A,YES,NO,22,72
27,⏳,—,138.2,19.4,UP,LEFT,NORMAL,N/A,YES,NO,25,192
31,⏳,—,6.0,6.0,UNKNOWN,LEFT,SLOW,N/A,NO,NO,34,39
34,Green Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,38,38
36,⏳,—,62.6,22.9,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,41,91
40,Green Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,56,56
42,Green Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,66,69
46,Green Vehicle,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,70,72
47,⏳,—,120.4,57.0,UP,RIGHT,NORMAL,N/A,NO,NO,71,154
53,⏳,—,40.4,36.3,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,80,88
57,Green Vehicle,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,86,86
59,⏳,—,50.9,16.9,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,88,192
60,Green Vehicle,—,51.9,12.7,UNKNOWN,LEFT,SLOW,N/A,NO,NO,88,192
63,Green Vehicle,—,79.9,27.8,DOWN,RIGHT,NORMAL,N/A,YES,NO,94,192
65,⏳,—,25.7,25.7,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,94,98
66,⏳,—,50.5,26.3,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,100,125
68,⏳,—,35.7,22.5,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,110,145
69,⏳,—,164.5,37.1,UP,LEFT,WRONG WAY,N/A,YES,NO,118,192
70,Green Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,120,120
71,Green Vehicle,Unreadable,72.2,64.8,UP,RIGHT,NORMAL,N/A,NO,NO,129,155
77,Green Vehicle,—,98.7,79.3,UP,LEFT,NORMAL,N/A,NO,NO,166,192
81,⏳,—,138.7,91.8,UP,LEFT,NORMAL,N/A,YES,NO,172,191
83,Blue Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,191,191
