Track ID,Type & Color,Plate Number,Max Speed (km/h),Avg Speed (km/h),Direction,Lane,Last Behavior,Driver Status,Wrong Way,Sudden Stop,First Frame,Last Frame
1,⏳,—,117.6,79.7,UP,LEFT,NORMAL,N/A,YES,NO,1,105
2,⏳,—,105.6,75.2,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,31
3,⏳,—,151.8,69.2,UP,LEFT,WRONG WAY,N/A,YES,NO,1,31
4,Truck,Unreadable,197.2,126.0,UP,LEFT,NORMAL,N/A,YES,NO,1,132
5,⏳,—,98.2,67.5,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,1,78
6,Car,—,43.0,38.2,DOWN,LEFT,NORMAL,N/A,NO,NO,1,7
8,Car,Unreadable,134.6,91.2,UP,LEFT,NORMAL,N/A,YES,NO,12,175
10,Car,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,20,22
16,Blue Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,46,47
17,Vehicle,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,50,50
23,Car,Unreadable,188.7,101.9,UP,LEFT,NORMAL,N/A,YES,NO,56,254
26,Green Car,—,115.1,114.1,UP,RIGHT,NORMAL,N/A,NO,NO,63,69
33,Car,0O U3076,143.4,96.8,UP,LEFT,NORMAL,N/A,YES,NO,81,223
34,Car,—,110.5,108.0,UP,LEFT,WRONG WAY,N/A,YES,NO,83,94
44,Car,—,200.0,200.0,UP,LEFT,WRONG WAY,N/A,YES,NO,106,119
45,Car,2016 037,114.8,111.1,UP,RIGHT,NORMAL,N/A,NO,NO,137,179
48,Car,Unreadable,171.7,95.2,UP,LEFT,NORMAL,N/A,YES,NO,157,354
53,White Car,—,143.7,97.1,UP,RIGHT,NORMAL,N/A,NO,NO,178,276
57,White Car,O ES0L,163.4,118.4,UP,RIGHT,NORMAL,N/A,NO,NO,183,284
58,Car,—,196.8,178.2,UP,RIGHT,NORMAL,N/A,NO,NO,184,194
63,Green Vehicle,Unreadable,116.6,82.8,UP,LEFT,NORMAL,N/A,YES,NO,265,446
69,White Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,280,280
71,⏳,—,174.3,52.5,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,292,349
75,⏳,—,185.9,118.0,UP,LEFT,NORMAL,N/A,YES,NO,303,355
78,⏳,—,71.6,44.0,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,313,332
85,Green Car,Unreadable,108.2,82.4,UP,LEFT,NORMAL,N/A,YES,NO,320,446
86,Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,324,325
87,Green Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,328,331
88,Vehicle,Unreadable,100.6,65.4,UP,RIGHT,NORMAL,N/A,NO,NO,330,446
89,Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,334,336
90,Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,339,341
91,Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,344,344
92,Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,351,351
93,Car,Unreadable,157.4,130.3,UP,LEFT,WRONG WAY,N/A,YES,NO,369,393
95,Car,—,0.0,0.0,UNKNOWN,LEFT,STOPPED,N/A,NO,NO,373,376
97,Car,—,133.0,133.0,UP,LEFT,WRONG WAY,N/A,YES,NO,379,383
98,⏳,—,26.9,26.9,UNKNOWN,LEFT,NORMAL,N/A,NO,NO,380,384
100,Car,Unreadable,169.4,120.7,UP,LEFT,WRONG WAY,N/A,YES,NO,391,446
104,Car,Unreadable,96.2,76.3,UP,LEFT,WRONG WAY,N/A,YES,NO,407,446
106,Green Car,—,0.0,0.0,UNKNOWN,RIGHT,STOPPED,N/A,NO,NO,419,420
107,Car,—,101.8,96.8,UP,LEFT,WRONG WAY,N/A,YES,NO,424,431
109,Car,—,48.1,44.4,UP,LEFT,WRONG WAY,N/A,YES,NO,438,446
